owner,repo_id,model_name,pipeline_tag,license,created_at,last_modified,downloads,private,sha
meta-llama,meta-llama/Meta-Llama-3-8B-Instruct,Meta-Llama-3-8B-Instruct,text-generation,llama3,2024-04-17T09:35:12+00:00,2025-06-18T23:49:51+00:00,917589,False,8afb486c1db24fe5011ec46dfbe5b5dccdb575c2
meta-llama,meta-llama/Meta-Llama-3-70B-Instruct,Meta-Llama-3-70B-Instruct,text-generation,llama3,2024-04-17T09:34:54+00:00,2025-06-18T23:49:26+00:00,741792,False,50fd307e57011801c7833c87efa1984ddf2db42f
meta-llama,meta-llama/Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,image-text-to-text,other,2025-04-01T22:17:20+00:00,2025-05-22T23:46:12+00:00,20970,False,73d14711bcc77c16df3470856949c3764056b617
meta-llama,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,image-text-to-text,other,2025-04-01T20:47:02+00:00,2025-05-22T23:46:03+00:00,171349,False,94125d2bd83076b21eed33119525e29eaf3894f4
meta-llama,meta-llama/Llama-4-Scout-17B-16E-Instruct,Llama-4-Scout-17B-16E-Instruct,image-text-to-text,other,2025-04-02T13:34:17+00:00,2025-05-22T23:44:50+00:00,240724,False,92f3b1597a195b523d8d9e5700e57e4fbb8f20d3
meta-llama,meta-llama/Llama-4-Maverick-17B-128E-Instruct-Original,Llama-4-Maverick-17B-128E-Instruct-Original,,other,2025-04-04T08:02:25+00:00,2025-05-10T15:08:32+00:00,2,False,67c56dfc0e87cd4ade6ec403b59fa7922b762b13
meta-llama,meta-llama/Llama-Guard-4-12B,Llama-Guard-4-12B,image-text-to-text,other,2025-04-23T11:30:25+00:00,2025-04-29T18:14:44+00:00,42865,False,87acb4b94e930c3d679e6e7ee9d57e2feab9ea71
meta-llama,meta-llama/Llama-Prompt-Guard-2-86M,Llama-Prompt-Guard-2-86M,text-classification,other,2025-04-28T07:16:35+00:00,2025-04-29T15:59:55+00:00,49675,False,a8ded8e697ce7c355e395a0df51f94adb4a2fd27
meta-llama,meta-llama/Llama-Prompt-Guard-2-22M,Llama-Prompt-Guard-2-22M,text-classification,other,2025-04-28T07:15:58+00:00,2025-04-29T15:47:24+00:00,15802,False,11614a155199674a0a95e6602d6ab0417b790ed0
meta-llama,meta-llama/Llama-4-Maverick-17B-128E,Llama-4-Maverick-17B-128E,image-text-to-text,other,2025-04-02T17:35:27+00:00,2025-04-09T10:41:47+00:00,40939,False,10751cb97a4d7c90f7ed89196b98eb8220cfa1c2
meta-llama,meta-llama/Llama-4-Scout-17B-16E,Llama-4-Scout-17B-16E,image-text-to-text,other,2025-04-02T17:03:27+00:00,2025-04-09T10:41:20+00:00,23961,False,14d516bdff6ac06cec40678529222f193386189c
meta-llama,meta-llama/Llama-4-Maverick-17B-128E-Original,Llama-4-Maverick-17B-128E-Original,,other,2025-04-03T15:51:13+00:00,2025-04-05T22:36:07+00:00,18,False,75aef8815de2a5f56187cded0c90eb99584449d0
