child_model,base_model
johnjeanc/OpenRS-GRPO,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
NaruseShiroha/opencapybara-math-smol-4.1B-instruction-GGUF,NaruseShiroha/capybara-math-smol-4.1B
Zachary1150/OpenRS-GRPO,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
zkzhang88/OpenCodeEdit-Qwen2.5-7B,- Qwen/Qwen2.5-Coder-7B
zkzhang88/OpenCodeEdit-DSC-6.7B,- deepseek-ai/deepseek-coder-6.7b-base
Harsh1729/R1-Distill-Llama-8B-SFT-cotroller_dataset-bespoke_openthoughts3-ta_multiple-v2,deepseek-ai/DeepSeek-R1-Distill-Llama-8B
Harsh1729/R1-Distill-Llama-8B-SFT-cotroller_dataset-bespoke_openthoughts3-ta_multiple,deepseek-ai/DeepSeek-R1-Distill-Llama-8B
zkzhang88/OpenCodeEdit-Qwen3-8B,- Qwen/Qwen3-8B-Base
OpenVoiceOS/phoonnx_eu-ES_dii_espeak,- OpenVoiceOS/phoonnx_eu-ES_miro_espeak
Ziyao1010/Qwen2.5-1.5B-Open-R1-GRPO-Math,Qwen/Qwen2.5-1.5B-Instruct
Kotom1/OpenRS-GRPO,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
sujitvasanth/OpenCUA7BSmartQ,- Qwen/Qwen2.5-VL-7B-Instruct
openchs/asr-whisper-helpline-sw-v1,openai/whisper-large-v2
sujitvasanth/OpenCUA7BQfp164bit,- Qwen/Qwen2.5-VL-7B-Instruct
OpenVoiceOS/phoonnx_eu-ES_miro_espeak,- OpenVoiceOS/pipertts_pt-PT_miro
Viharikvs/CMBA-768M-OpenWebMath,t5-small
openbmb/MiniCPM-o-2_6-gguf,- openbmb/MiniCPM-o-2_6
openbmb/MiniCPM-o-2_6-int4,- openbmb/MiniCPM-o-2_6
AzalKhan/Qwen2.5-1.5B-Instruct_open-r1-DAPO-Math-17k-Processed_588,Qwen/Qwen2.5-1.5B-Instruct
opendiffusionai/xlsd16-phase2,- opendiffusionai/XLSD-V0.0
opendiffusionai/XLSD-V0.0,- stable-diffusion-v1-5/stable-diffusion-v1-5
opendiffusionai/xlsd32-beta1,- opendiffusionai/XLSD-V0.0
AzalKhan/Qwen2.5-1.5B-Instruct_open-r1-DAPO-Math-17k-Processed_294,Qwen/Qwen2.5-1.5B-Instruct
hdong0/Qwen3-1.7B-Open-R1-GRPO_deepscaler_acc_2048,Qwen/Qwen3-1.7B
mradermacher/Majority-Voting-Qwen3-8B-Base-OpenRS-i1-GGUF,TMLR-Group-HF/Majority-Voting-Qwen3-8B-Base-OpenRS
mradermacher/Majority-Voting-Qwen3-8B-Base-OpenRS-GGUF,TMLR-Group-HF/Majority-Voting-Qwen3-8B-Base-OpenRS
mradermacher/Co-rewarding-I-Qwen3-8B-Base-OpenRS-i1-GGUF,TMLR-Group-HF/Co-rewarding-I-Qwen3-8B-Base-OpenRS
hdong0/Qwen3-1.7B-base-Open-R1-GRPO_deepscaler_acc_16384,Qwen/Qwen3-1.7B-base
mradermacher/Co-rewarding-I-Qwen3-8B-Base-OpenRS-GGUF,TMLR-Group-HF/Co-rewarding-I-Qwen3-8B-Base-OpenRS
mradermacher/Self-Certainty-Qwen3-8B-Base-OpenRS-i1-GGUF,TMLR-Group-HF/Self-Certainty-Qwen3-8B-Base-OpenRS
kangdawei/Open-RS,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
mradermacher/Self-Certainty-Qwen3-8B-Base-OpenRS-GGUF,TMLR-Group-HF/Self-Certainty-Qwen3-8B-Base-OpenRS
xlangai/OpenCUA-72B-preview,- Qwen/Qwen2.5-VL-72B-Instruct
mradermacher/Entropy-Qwen3-8B-Base-OpenRS-i1-GGUF,TMLR-Group-HF/Entropy-Qwen3-8B-Base-OpenRS
mradermacher/Entropy-Qwen3-8B-Base-OpenRS-GGUF,TMLR-Group-HF/Entropy-Qwen3-8B-Base-OpenRS
mradermacher/Co-rewarding-II-Qwen3-8B-Base-OpenRS-i1-GGUF,TMLR-Group-HF/Co-rewarding-II-Qwen3-8B-Base-OpenRS
mradermacher/Co-rewarding-II-Qwen3-8B-Base-OpenRS-GGUF,TMLR-Group-HF/Co-rewarding-II-Qwen3-8B-Base-OpenRS
charlesparsed/qwen3-32b-openx-tool-r32-samples1000,Qwen/Qwen3-32B
mradermacher/GT-Qwen3-8B-Base-OpenRS-i1-GGUF,TMLR-Group-HF/GT-Qwen3-8B-Base-OpenRS
mradermacher/GT-Qwen3-4B-Base-OpenRS-GGUF,TMLR-Group-HF/GT-Qwen3-4B-Base-OpenRS
mradermacher/GT-Qwen3-8B-Base-OpenRS-GGUF,TMLR-Group-HF/GT-Qwen3-8B-Base-OpenRS
charlesparsed/qwen3-32b-openx-tool,Qwen/Qwen3-32B
mradermacher/Entropy-Qwen3-4B-Base-OpenRS-GGUF,TMLR-Group-HF/Entropy-Qwen3-4B-Base-OpenRS
AzalKhan/Qwen2.5-1.5B-Instruct_open-r1-DAPO-Math-17k-Processed_1,Qwen/Qwen2.5-1.5B-Instruct
mradermacher/Self-Certainty-Qwen3-4B-Base-OpenRS-GGUF,TMLR-Group-HF/Self-Certainty-Qwen3-4B-Base-OpenRS
mradermacher/Majority-Voting-Qwen3-4B-Base-OpenRS-GGUF,TMLR-Group-HF/Majority-Voting-Qwen3-4B-Base-OpenRS
mradermacher/Co-rewarding-II-Qwen3-4B-Base-OpenRS-GGUF,TMLR-Group-HF/Co-rewarding-II-Qwen3-4B-Base-OpenRS
