model_name,license
- 01-ai/Yi-1.5-34B-32K,
- A2va/openbuddy-llama3.1-8b-bnb-4bit,
- AI-Sweden-Models/gpt-sw3-6.7b-v2,
- AXCXEPT/AXCXEPT-phi-4-open-R1-Distill-EZOv1,
- AXCXEPT/phi-4-open-R1-Distill-EZOv1,
- ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.2,
- BAAI/OpenSeek-Small-v1,
- BAAI/bge-base-en-v1.5,
- BAAI/bge-m3,
- BAAI/bge-reranker-base,
- BAAI/bge-reranker-large,
- Bifrost-AI/Mirage-OpenReasoning-Nemotron-7B,
- BioMistral/BioMistral-7B-TIES,
- ByteDance-Seed/Seed-OSS-36B-Instruct,
- ByteDance-Seed/UI-TARS-7B-DPO,
- CohereForAI/aya-expanse-8b,
- Darkknight535/OpenCrystal-12B-L3,
- DavidAU/OpenAi-GPT-oss-36B-BrainStorm20x-uncensored,
- EleutherAI/gpt-j-6b,
- EleutherAI/gpt-neox-20b,
- EleutherAI/pythia-12b,
- EleutherAI/pythia-1b,
- EleutherAI/pythia-2.8b,
- EleutherAI/pythia-6.9b,
- Haozhan72/Openvla-oft-SFT-libero-goal-traj1,
- Haozhan72/Openvla-oft-SFT-libero-goal-trajall,
- Haozhan72/Openvla-oft-SFT-libero-object-traj1,
- Haozhan72/Openvla-oft-SFT-libero-spatial-traj1,
- Haozhan72/Openvla-oft-SFT-libero10-traj1,
- HuggingFaceH4/zephyr-7b-beta,
- HuggingFaceTB/SmolLM2-1.7B-Instruct,
- IDKiro/sdxs-512-dreamshaper,
- Intel/neural-chat-7b-v1-1,
- Intel/neural-chat-7b-v3-1,
- Intel/neural-chat-7b-v3-3,
- Jarbas/m2v-256-BERnaT-base,
- Jarbas/m2v-256-danish-bert-base-intent-classifier,
- Jarbas/m2v-256-roberta-large-ca-v2-massive,
- Jarbas/m2v-256-xlm-roberta-large-finetuned-conll03-german,
- Jayant9928/orpo_med_v3,
- Jebadiah/gradient-1m-OpenBio-stone-l3-8b,
- KingNish/Reasoning-Llama-1b-v0.1,
- LanguageBind/Open-Sora-Plan-v1.3.0,
- LargeWorldModel/LWM-Chat-1M-Jax,
- Laxhar/noobai-XL-Vpred-0.65,
- Locutusque/Hercules-2.5-Mistral-7B,
- Locutusque/Hyperion-2.1-Mistral-7B,
- LumiOpen/Poro-34B,
- Motif-Technologies/Motif-2.6B,
- Muhammad2003/Llama3-8B-OpenHermes-DPO,
- N-Bot-Int/OpenElla3-Llama3.2B,
- N-Bot-Int/OpenRP3B-Llama3.2,
- Nexusflow/Starling-LM-7B-beta,
- Norquinal/OpenCAI-7B-V2,
- Norquinal/OpenCAI-8B-V2,
- NousResearch/Hermes-2-Pro-Mistral-7B,
- NousResearch/Meta-Llama-3.1-8B-Instruct,
- NousResearch/Yarn-Mistral-7b-128k,
- O1-OPEN/OpenO1-LLama-8B-v0.1,
- O1-OPEN/OpenO1-Qwen-7B-v0.1,
- Open-Orca/Mistral-7B-OpenOrca,
- Open-Reasoner-Zero/Open-Reasoner-Zero-7B,
- OpenBuddy/OpenBuddy-R1-0528-Distill-Qwen3-32B-Preview0-QAT,
- OpenBuddy/OpenBuddy-R1-0528-Distill-Qwen3-32B-Preview3-QAT,
- OpenBuddy/OpenBuddy-R1-0528-Distill-Qwen3-32B-Preview4-QAT-200K,
- OpenBuddy/OpenBuddy-R1-0528-Distill-Qwen3-32B-Preview6-QAT-200K,
- OpenBuddy/OpenBuddy-R1-0528-Distill-Qwen3-32B-Preview7-QAT-200K,
- OpenBuddy/OpenBuddy-R10528DistillQwen-72B-Preview1,
- OpenBuddy/openbuddy-llama3.1-8b-v22.3-131k,
- OpenBuddy/openbuddy-qwen2.5llamaify-14b-v23.1-200k,
- OpenGVLab/InternVL2-1B,
- OpenGVLab/InternVL2-2B,
- OpenGVLab/InternVL2-4B,
- OpenGVLab/InternVL2-8B,
- OpenGVLab/InternVL2.5-4B,
- OpenGVLab/InternVL2_5-1B,
- OpenGVLab/InternVL2_5-26B,
- OpenGVLab/InternVL2_5-26B-MPO,
- OpenGVLab/InternVL2_5-2B,
- OpenGVLab/InternVL2_5-38B,
- OpenGVLab/InternVL2_5-38B-MPO,
- OpenGVLab/InternVL2_5-4B,
- OpenGVLab/InternVL2_5-4B-MPO,
- OpenGVLab/InternVL2_5-78B,
- OpenGVLab/InternVL2_5-78B-MPO,
- OpenGVLab/InternVL2_5-8B,
- OpenGVLab/InternVL2_5-8B-MPO,
- OpenGVLab/InternVL3-14B,
- OpenGVLab/InternVL3-14B-Instruct,
- OpenGVLab/InternVL3-14B-Pretrained,
- OpenGVLab/InternVL3-1B,
- OpenGVLab/InternVL3-1B-Instruct,
- OpenGVLab/InternVL3-1B-Pretrained,
- OpenGVLab/InternVL3-2B,
- OpenGVLab/InternVL3-2B-Instruct,
- OpenGVLab/InternVL3-2B-Pretrained,
- OpenGVLab/InternVL3-38B,
- OpenGVLab/InternVL3-38B-Instruct,
- OpenGVLab/InternVL3-38B-Pretrained,
- OpenGVLab/InternVL3-78B,
- OpenGVLab/InternVL3-78B-Instruct,
- OpenGVLab/InternVL3-78B-Pretrained,
- OpenGVLab/InternVL3-8B,
- OpenGVLab/InternVL3-8B-Instruct,
- OpenGVLab/InternVL3-8B-Pretrained,
- OpenGVLab/InternVL3-9B,
- OpenGVLab/InternVL3-9B-Instruct,
- OpenGVLab/InternVL3-9B-Pretrained,
- OpenGVLab/InternVL3_5-14B,
- OpenGVLab/InternVL3_5-14B-Instruct,
- OpenGVLab/InternVL3_5-14B-MPO,
- OpenGVLab/InternVL3_5-14B-Pretrained,
- OpenGVLab/InternVL3_5-1B,
- OpenGVLab/InternVL3_5-1B-Instruct,
- OpenGVLab/InternVL3_5-1B-MPO,
- OpenGVLab/InternVL3_5-1B-Pretrained,
- OpenGVLab/InternVL3_5-241B-A28B,
- OpenGVLab/InternVL3_5-241B-A28B-Instruct,
- OpenGVLab/InternVL3_5-241B-A28B-MPO,
- OpenGVLab/InternVL3_5-241B-A28B-Pretrained,
- OpenGVLab/InternVL3_5-2B,
- OpenGVLab/InternVL3_5-2B-Instruct,
- OpenGVLab/InternVL3_5-2B-MPO,
- OpenGVLab/InternVL3_5-2B-Pretrained,
- OpenGVLab/InternVL3_5-30B-A3B,
- OpenGVLab/InternVL3_5-30B-A3B-Instruct,
- OpenGVLab/InternVL3_5-30B-A3B-MPO,
- OpenGVLab/InternVL3_5-30B-A3B-Pretrained,
- OpenGVLab/InternVL3_5-38B,
- OpenGVLab/InternVL3_5-38B-Instruct,
- OpenGVLab/InternVL3_5-38B-MPO,
- OpenGVLab/InternVL3_5-38B-Pretrained,
- OpenGVLab/InternVL3_5-4B,
- OpenGVLab/InternVL3_5-4B-Instruct,
- OpenGVLab/InternVL3_5-4B-MPO,
- OpenGVLab/InternVL3_5-4B-Pretrained,
- OpenGVLab/InternVL3_5-8B,
- OpenGVLab/InternVL3_5-8B-Instruct,
- OpenGVLab/InternVL3_5-8B-MPO,
- OpenGVLab/InternVL3_5-8B-Pretrained,
- OpenGVLab/InternViT-300M-448px,
- OpenGVLab/InternViT-300M-448px-V2_5,
- OpenGVLab/InternViT-6B-224px,
- OpenGVLab/InternViT-6B-448px-V1-0,
- OpenGVLab/InternViT-6B-448px-V1-2,
- OpenGVLab/InternViT-6B-448px-V1-5,
- OpenGVLab/InternViT-6B-448px-V2_5,
- OpenGenerativeAI/Bifrost,
- OpenLLM-France/Claire-Mistral-7B-0.1,
- OpenLLM-France/Lucie-7B,
- OpenLLM-France/Lucie-7B-Instruct,
- OpenLLM-France/Lucie-7B-Instruct-human-data,
- OpenLLM-France/Lucie-7B-Instruct-v1.1,
- OpenLLM-Ro/RoGemma-7b-Instruct-2024-10-09,
- OpenLLM-Ro/RoGemma2-9b-Instruct-2024-10-09,
- OpenLLM-Ro/RoGemma2-9b-Instruct-2025-04-23,
- OpenLLM-Ro/RoLlama2-7b-Base,
- OpenLLM-Ro/RoLlama2-7b-Instruct-2024-10-09,
- OpenLLM-Ro/RoLlama2-7b-Instruct-2025-04-23,
- OpenLLM-Ro/RoLlama3-8b-Instruct-2024-10-09,
