model_name,num_children,has_parent,is_in_records,license,author
Qwen/Qwen2.5-1.5B-Instruct,342,False,False,,
Qwen/Qwen2.5-7B-Instruct,253,False,False,,
beomi/Llama-3-Open-Ko-8B-Instruct-preview,113,False,True,other,
Qwen/Qwen2.5-32B-Instruct,90,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,88,False,False,,
mistralai/Mistral-7B-v0.1,87,False,False,,
meta-llama/Meta-Llama-3-8B,70,False,False,,
microsoft/swin-tiny-patch4-window7-224,53,False,False,,
ORIGINAL_REPO_NAME,48,False,False,,
black-forest-labs/FLUX.1-dev,41,False,False,,
lerobot/smolvla_base,39,False,False,,
openchat/openchat_3.5,36,False,True,apache-2.0,
openai/whisper-tiny,35,False,True,apache-2.0,
openlm-research/open_llama_3b_v2,35,False,True,apache-2.0,
Qwen/Qwen2.5-7B,33,False,False,,
codellama/CodeLlama-7b-hf,31,False,False,,
Qwen/Qwen2.5-0.5B-Instruct,29,False,False,,
beomi/Llama-3-Open-Ko-8B,28,False,True,other,
meta-llama/Llama-3.1-8B-Instruct,27,False,False,,
openai/whisper-medium,27,False,True,apache-2.0,
unsloth/llama-3-8b-bnb-4bit,25,False,False,,
openai/whisper-small,25,False,True,apache-2.0,
Qwen/Qwen2.5-Math-1.5B-Instruct,25,False,False,,
apple/OpenELM-3B-Instruct,25,False,True,apple-amlr,
- openlm-research/open_llama_7b_v2,23,False,False,,
- openlm-research/open_llama_3b_v2,22,False,False,,
Qwen/Qwen2.5-Math-7B-Instruct,22,False,False,,
meta-llama/Llama-2-7b-hf,22,False,False,,
- Qwen/Qwen2.5-7B-Instruct,20,False,False,,
openai/whisper-large-v3,20,False,True,apache-2.0,
openai/whisper-large-v2,19,False,True,apache-2.0,
apple/OpenELM-1_1B-Instruct,19,False,True,apple-amlr,
meta-llama/Llama-3.2-1B-Instruct,19,False,False,,
Qwen/Qwen2.5-Coder-14B-Instruct,18,False,False,,
meta-llama/Meta-Llama-3-8B-Instruct,18,False,False,,
Open-Orca/Mistral-7B-OpenOrca,18,False,True,apache-2.0,
Qwen/Qwen2.5-3B-Instruct,18,False,False,,
- OpenGVLab/InternViT-300M-448px-V2_5,17,False,False,,
- deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,17,False,False,,
meta-llama/Meta-Llama-3-70B-Instruct,17,False,False,,
Qwen/Qwen2.5-VL-7B-Instruct,16,False,False,,
apple/OpenELM-1_1B,16,False,True,apple-amlr,
open-r1/OpenR1-Qwen-7B,16,False,True,apache-2.0,
openlm-research/open_llama_3b,15,False,True,apache-2.0,
stabilityai/stable-diffusion-xl-base-1.0,15,False,False,,
bert-base-multilingual-uncased,15,False,False,,
facebook/opt-350m,15,False,False,,
- Qwen/Qwen2.5-1.5B-Instruct,15,False,False,,
- Qwen/Qwen2.5-32B-Instruct,14,False,False,,
m-a-p/OpenCodeInterpreter-DS-6.7B,14,False,True,apache-2.0,
