model_name,num_children,has_parent,is_in_records,license,author
Qwen/Qwen2.5-1.5B-Instruct,342,False,False,,
Qwen/Qwen2.5-7B-Instruct,253,False,False,,
teknium/OpenHermes-2.5-Mistral-7B,121,True,True,apache-2.0,
beomi/Llama-3-Open-Ko-8B-Instruct-preview,113,False,True,other,
Qwen/Qwen2.5-32B-Instruct,90,False,False,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,88,False,False,,
mistralai/Mistral-7B-v0.1,87,False,False,,
meta-llama/Meta-Llama-3-8B,70,False,False,,
aaditya/Llama3-OpenBioLLM-8B,60,True,True,llama3,
microsoft/swin-tiny-patch4-window7-224,53,False,False,,
openchat/openchat-3.5-0106,53,True,True,apache-2.0,
